city,country,lat,lng,temp,humidity,cloudiness,wind_speed
Solnechnyy,RU,50.72,136.63,59.43,54,100,3.24
Port Alfred,ZA,-33.59,26.89,49.82,63,16,21.61
Ixtapa,MX,20.7,-105.2,83.08,74,90,4.7
Ushuaia,AR,-54.8,-68.3,32.0,93,90,13.87
Fort Dodge,US,42.5,-94.17,65.35,60,1,3.36
Ketchikan,US,55.34,-131.65,60.8,72,75,3.36
Barpathār,IN,26.3,93.87,83.26,75,52,4.21
Kavieng,PG,-2.57,150.8,85.91,68,31,12.62
Mount Isa,AU,-20.73,139.5,82.4,37,18,11.41
Souillac,MU,-20.52,57.52,69.8,73,40,14.99
Fortuna,US,40.6,-124.16,58.8,82,1,11.41
Punta Arenas,CL,-53.15,-70.92,38.07,80,70,25.28
Rikitea,PF,-23.12,-134.97,70.43,72,0,6.44
Eureka,US,40.8,-124.16,60.48,77,1,8.05
Kapaa,US,22.08,-159.32,81.72,74,40,16.11
Nālūt,LY,30.33,10.85,80.26,24,0,15.12
New Norfolk,AU,-42.78,147.06,63.81,51,58,5.99
Fenoarivo,MG,-18.93,47.44,57.2,71,75,10.29
Bathsheba,BB,13.22,-59.52,80.6,83,40,14.99
Bredasdorp,ZA,-34.53,20.04,42.8,87,8,5.82
Ancud,CL,-41.87,-73.82,36.01,96,69,5.01
Morant Bay,JM,17.88,-76.41,83.28,84,75,8.05
Nola,IT,40.92,14.53,77.76,64,0,1.12
Tual,ID,-5.67,132.75,79.38,84,94,21.41
Fort Nelson,CA,58.81,-122.7,53.6,58,75,4.7
Albany,US,42.6,-73.97,68.92,70,15,8.01
Puerto Ayora,EC,-0.74,-90.35,65.28,86,97,11.03
Mataura,NZ,-46.19,168.86,56.25,61,100,9.51
Muskegon,US,43.3,-86.13,65.73,56,40,8.05
Atuona,PF,-9.8,-139.03,79.18,77,13,20.24
Jamestown,US,42.1,-79.24,60.91,82,1,8.05
Saint Paul Harbor,US,57.79,-152.41,53.6,93,90,20.8
High Level,CA,58.52,-117.14,50.0,93,90,6.93
George Town,MY,5.41,100.34,82.02,83,20,2.24
Isangel,VU,-19.55,169.27,77.0,69,75,16.11
Mar del Plata,AR,-38.0,-57.56,42.55,64,40,4.7
Dikson,RU,73.51,80.55,41.81,96,100,20.67
Thompson,CA,55.74,-97.86,55.4,76,75,2.24
Cabo San Lucas,MX,22.89,-109.91,79.14,94,90,4.7
Dombarovskiy,RU,50.76,59.54,69.08,40,100,13.42
Xining,CN,36.62,101.77,49.96,83,100,4.23
Viedma,AR,-40.81,-63.0,37.08,63,0,9.55
Inta,RU,66.03,60.17,53.38,72,21,17.83
Butaritari,KI,3.07,172.79,84.0,68,37,10.42
Haines Junction,CA,60.75,-137.51,56.28,51,7,7.81
Busselton,AU,-33.65,115.33,57.0,50,51,9.42
Alofi,NU,-19.06,-169.92,80.6,69,18,18.34
Cao Bang,VN,22.67,106.25,86.54,65,4,1.97
Lüderitz,NA,-26.65,15.16,50.09,62,0,15.61
Isiro,CD,2.77,27.62,63.09,98,86,1.19
Airai,TL,-8.93,125.41,72.7,42,98,5.1
Sioux Lookout,CA,50.1,-91.92,57.2,71,75,3.36
San Rafael del Sur,NI,11.85,-86.44,78.8,83,40,4.7
Barrow,US,71.29,-156.79,37.4,74,90,17.22
Hilo,US,19.73,-155.09,78.3,58,40,12.75
Pisco,PE,-13.7,-76.22,61.75,87,90,12.75
Diffa,NE,13.32,12.61,77.11,68,100,3.02
Haukipudas,FI,65.18,25.35,48.2,81,97,3.36
Provideniya,RU,64.38,-173.3,53.37,63,65,10.18
Tasiilaq,GL,65.61,-37.64,41.0,75,100,2.24
Guerrero Negro,MX,27.98,-114.06,76.64,76,79,12.39
Sibolga,ID,1.74,98.78,84.04,68,80,0.74
Arraial do Cabo,BR,-22.97,-42.03,71.96,87,0,26.33
Sergeevka,KZ,53.88,67.42,65.5,68,73,5.28
Lebu,CL,-37.62,-73.65,44.2,76,0,12.33
Kahului,US,20.89,-156.47,82.0,46,1,28.86
Ostrovnoy,RU,68.05,39.51,47.37,90,100,4.03
Khatanga,RU,71.97,102.5,55.63,59,94,10.63
Aykhal,RU,66.0,111.5,53.6,50,90,1.61
Ponta do Sol,PT,32.67,-17.1,68.29,56,40,13.87
Lac du Bonnet,CA,50.25,-96.06,64.11,99,0,4.63
Merauke,ID,-8.47,140.33,84.27,71,100,9.1
Yellowknife,CA,62.46,-114.35,46.24,93,90,19.46
Hermanus,ZA,-34.42,19.23,39.0,93,7,1.01
Rawson,AR,-43.3,-65.1,45.18,55,0,17.22
Vestmannaeyjar,IS,63.44,-20.27,52.43,92,100,12.5
Iranshahr,IR,27.2,60.68,82.47,15,0,6.02
Port-Gentil,GA,-0.72,8.78,75.16,87,89,14.63
Faanui,PF,-16.48,-151.75,78.3,75,0,23.38
Hithadhoo,MV,-0.6,73.08,82.65,73,34,10.11
Ilo,PE,-17.64,-71.34,59.43,81,96,8.08
Upernavik,GL,72.79,-56.15,40.15,74,0,3.31
Castro,BR,-24.79,-50.01,60.17,78,0,3.58
Sémbé,CG,1.65,14.58,70.09,94,100,2.95
Bluff,NZ,-46.6,168.33,54.03,74,67,29.46
Dawlatabad,AF,36.41,64.91,70.83,27,0,7.72
Kastamonu Province,TR,41.5,33.67,57.43,71,0,1.16
Praia,CV,14.92,-23.51,78.8,94,20,3.36
Kysyl-Syr,RU,63.9,122.76,58.26,86,100,2.89
Santiago del Estero,AR,-27.8,-64.26,58.75,39,25,13.29
Severo-Kuril'sk,RU,50.68,156.12,52.83,79,63,10.87
Grand Gaube,MU,-20.01,57.66,70.0,71,1,8.99
Nísia Floresta,BR,-6.09,-35.21,76.14,83,75,11.41
Laje,BR,-10.18,-40.97,68.16,75,0,7.99
Katsuura,JP,35.13,140.3,93.4,63,20,11.41
Kasempa,ZM,-13.46,25.83,63.7,45,21,1.14
Obo,CF,5.4,26.49,66.6,98,97,4.34
Lorengau,PG,-2.02,147.27,85.33,71,98,11.68
Turka,UA,49.15,23.03,63.19,81,0,1.99
Ribeira Grande,PT,38.52,-28.7,74.5,94,69,7.02
Sambava,MG,-14.27,50.17,69.55,83,60,11.99
Monte Patria,CL,-30.69,-70.95,54.05,50,100,1.95
Acapulco de Juárez,MX,16.86,-99.89,80.6,83,75,3.36
Orlik,RU,52.52,99.83,47.41,80,100,4.59
Khovd,MN,48.01,91.64,55.17,53,68,3.09
Westport,US,41.14,-73.36,74.95,83,1,10.29
Manadhoo,MV,5.77,73.38,83.05,68,93,7.14
Kavaratti,IN,10.57,72.64,81.97,78,100,14.5
Vredendal,ZA,-31.67,18.5,41.34,68,0,4.56
Letlhakane,BW,-21.42,25.58,61.12,29,44,12.03
Price,US,39.6,-110.81,86.0,12,1,16.11
Touros,BR,-5.2,-35.46,75.2,88,40,5.82
Nanortalik,GL,60.14,-45.24,48.9,73,81,7.43
Mahébourg,MU,-20.41,57.7,69.8,73,40,14.99
Portland,US,45.52,-122.68,69.8,29,0,9.4
Bogale,MM,16.28,95.4,83.91,78,76,8.84
Avarua,CK,-21.21,-159.78,77.0,73,44,18.34
Mergen,CN,49.18,125.22,54.14,93,100,9.46
Sitka,US,57.05,-135.33,57.2,82,75,8.05
Diamantino,BR,-14.41,-56.45,78.82,19,1,6.13
Fukuechō,JP,32.69,128.84,86.0,79,20,6.93
Luwuk,ID,-0.95,122.79,83.01,62,100,8.25
Dunedin,NZ,-45.87,170.5,59.41,53,65,17.0
Castelnaudary,FR,43.32,1.95,57.29,87,90,11.41
Padang,ID,-0.95,100.35,83.8,65,100,2.82
Oranjemund,NA,-28.55,16.43,49.33,72,0,7.34
Lompoc,US,34.64,-120.46,62.46,72,1,11.41
Tokur,RU,53.13,132.9,61.99,39,93,3.36
Otjiwarongo,NA,-20.46,16.65,47.5,39,3,13.02
Mackay,AU,-21.15,149.2,73.24,60,90,17.22
Chengzhong,CN,30.95,113.55,84.2,62,0,6.71
Lagos,NG,6.58,3.75,74.55,90,100,3.6
East London,ZA,-33.02,27.91,52.05,61,42,18.97
Araouane,ML,18.9,-3.53,86.0,53,46,12.53
Doha,QA,25.29,51.53,87.62,66,0,4.7
Ust'-Koksa,RU,50.27,85.61,51.01,75,67,1.14
Auki,SB,-8.77,160.7,88.29,66,94,8.48
Vaini,TO,-21.2,-175.2,80.6,74,40,10.29
Bambous Virieux,MU,-20.34,57.76,69.89,73,40,14.99
Santa Maria,BR,-29.68,-53.81,68.0,88,90,9.17
Takoradze,GH,4.88,-1.76,73.44,91,100,8.03
Mandera,KE,3.94,41.87,76.69,65,0,14.2
Maués,BR,-3.38,-57.72,77.36,75,24,2.1
Assiut,EG,27.18,31.18,78.8,41,0,11.41
Govlyar,AZ,40.95,45.73,66.2,88,20,11.41
Elizabeth City,US,36.29,-76.25,79.34,88,1,10.29
Saint Anthony,US,45.02,-93.22,66.43,52,1,4.7
Povenets,RU,62.85,34.83,46.06,88,82,3.02
Kusa,RU,55.34,59.44,59.07,84,67,2.75
Bima,ID,-8.47,118.72,88.54,44,45,5.06
Rocha,UY,-34.48,-54.33,47.52,77,100,13.96
Bhīnmāl,IN,25.0,72.25,83.48,78,100,4.32
Bridlington,GB,54.08,-0.19,52.5,76,100,9.17
Zyryanka,RU,65.75,150.85,53.92,47,0,3.15
Karaidel',RU,55.83,56.91,59.5,89,100,3.94
Hobart,AU,-42.88,147.33,66.69,37,75,23.04
Codrington,AU,-38.27,141.97,56.35,78,100,17.07
Ulaangom,MN,49.98,92.07,60.55,46,1,1.97
Kudahuvadhoo,MV,2.67,72.89,83.37,63,53,0.29
Riyadh,SA,24.69,46.72,80.6,26,97,3.36
Pokhara,NP,28.23,83.98,74.68,80,58,1.12
Buraidah,SA,26.33,43.98,80.6,32,0,4.7
Abadan,TM,38.05,58.21,68.0,40,0,4.7
Baykit,RU,61.67,96.37,58.82,69,29,2.71
Tiarei,PF,-17.53,-149.33,84.2,62,40,10.29
Tabas,IR,33.6,56.92,73.4,20,0,2.86
Labuhan,ID,-6.88,112.21,82.78,59,100,5.39
Fare,PF,-16.7,-151.02,78.44,75,0,23.06
Chokurdakh,RU,70.63,147.92,42.31,81,100,3.87
Bastos,BR,-21.92,-50.73,72.36,44,0,6.38
Micheweni,TZ,-4.97,39.83,74.43,82,49,7.85
Ejura,GH,7.39,-1.36,70.88,89,97,6.17
Arrondissement de Verdun,FR,49.25,5.33,49.98,93,22,2.8
Zhirnovsk,RU,50.98,44.77,56.64,78,33,3.85
Pundaguitan,PH,6.37,126.17,83.98,74,100,9.84
Sørland,NO,67.67,12.69,48.24,79,100,12.33
Berlevåg,NO,70.86,29.09,48.45,76,90,10.6
Maceió,BR,-9.67,-35.74,71.6,94,40,2.24
Evensk,RU,61.95,159.23,58.12,50,76,8.72
Chui,UY,-33.7,-53.46,51.78,87,98,13.11
Saskylakh,RU,71.92,114.08,59.31,44,100,5.66
Longyearbyen,SJ,78.22,15.64,39.2,89,75,23.04
Tagusao,PH,9.19,117.81,85.91,67,100,4.85
Puerto Escondido,MX,15.85,-97.07,80.44,76,100,2.42
Pitkyaranta,RU,61.57,31.48,51.03,89,100,10.38
Nyurba,RU,63.28,118.33,61.86,63,100,3.58
Yumen,CN,40.28,97.2,65.52,34,0,1.72
Kapit,MY,2.02,112.93,84.79,72,75,2.04
Ambulu,ID,-8.35,113.61,81.45,62,89,6.8
Kruisfontein,ZA,-34.0,24.73,46.0,66,21,4.0
Laguna,US,38.42,-121.42,85.66,25,1,10.29
Kirakira,SB,-10.45,161.92,85.75,73,89,13.18
Aden,YE,12.78,45.04,85.77,76,55,26.11
Wewak,PG,-3.55,143.63,84.56,62,0,5.99
Bonthe,SL,7.53,-12.51,75.33,90,100,9.93
Vanimo,PG,-2.67,141.3,86.88,57,0,5.5
Humboldt,US,40.67,-123.92,59.56,76,1,9.17
Cherskiy,RU,68.75,161.3,46.0,73,100,6.29
Yacuiba,BO,-22.04,-63.68,74.89,47,0,6.71
Philadelphia,US,39.95,-75.16,75.79,78,75,20.8
Ayan,RU,56.45,138.17,57.42,60,89,11.36
Capaci,IT,38.17,13.24,82.15,65,0,5.82
Tiksi,RU,71.69,128.87,45.88,75,0,8.43
Três Passos,BR,-27.46,-53.93,64.0,89,29,0.78
Tura,IN,25.52,90.22,78.17,89,100,5.73
Leningradskiy,RU,69.38,178.42,37.45,87,100,10.74
Levice,SK,48.22,18.61,73.0,72,0,1.01
Coyhaique,CL,-45.58,-72.07,42.8,60,75,5.82
Honningsvåg,NO,70.98,25.97,49.68,78,46,8.25
Burnie,AU,-41.07,145.92,57.0,72,100,7.0
Deputatsky,RU,69.3,139.9,40.03,80,96,4.36
Panzhihua,CN,26.59,101.71,70.0,84,98,1.1
Talcahuano,CL,-36.72,-73.12,44.6,75,0,6.93
Alfredo Chaves,BR,-20.64,-40.75,71.6,88,20,4.7
Agirish,RU,61.92,63.02,54.28,93,100,6.8
Sassandra,CI,4.95,-6.08,73.98,89,97,8.41
San Patricio,MX,19.22,-104.7,80.6,83,75,17.22
Lelystad,NL,52.51,5.47,58.32,76,15,5.01
Esperance,AU,-33.87,121.9,51.8,81,90,3.36
Katherine,AU,-14.47,132.27,87.8,20,82,14.99
Erzin,TR,36.96,36.2,81.0,92,0,2.68
Hasaki,JP,35.73,140.83,93.78,59,40,6.93
Okha,RU,53.57,142.95,57.47,59,0,7.43
Tuktoyaktuk,CA,69.45,-133.04,44.6,81,40,13.87
Kailua,US,21.4,-157.74,81.82,58,75,14.99
Meulaboh,ID,4.14,96.13,80.31,83,100,3.06
Wattegama,LK,6.8,81.48,78.8,94,90,3.36
Malbork,PL,54.04,19.03,56.52,93,100,4.65
Ust-Kuyga,RU,70.02,135.6,57.65,41,0,4.61
Saldanha,ZA,-33.01,17.94,37.4,63,13,2.24
Arrondissement du Havre,FR,49.58,0.33,56.34,87,90,13.87
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,62.6,51,97,13.42
Bethel,US,41.37,-73.41,71.37,79,1,3.0
Bouna,CI,9.27,-3.0,71.2,94,61,7.52
Kulhudhuffushi,MV,6.62,73.07,83.14,69,100,8.19
Ambon City,ID,-3.7,128.18,77.0,94,75,4.7
Usinsk,RU,65.99,57.53,48.27,76,100,7.94
Nadym,RU,65.53,72.52,45.73,78,100,7.54
Loandjili,CG,-4.76,11.86,71.94,85,100,7.52
Dingle,PH,11.0,122.67,86.14,72,88,7.7
Yerbogachën,RU,61.28,108.01,61.88,63,10,6.73
Parabel',RU,58.7,81.48,57.06,91,4,6.26
